episode,timestep,reward
1999,1944000,-5.0
2001,1946000,-9.5
2003,1948000,-1000.0
2005,1950000,-823.5
2007,1952000,-12.0
2009,1954000,-12.0
2011,1956000,-14.5
2013,1958000,-8.0
2015,1960000,-8.5
2017,1962000,-5.5
2019,1964000,-5.5
2021,1966000,-502.5
2023,1968000,-5.0
2025,1970000,-6.0
2027,1972000,-503.0
2029,1974000,-5.5
2031,1976000,-6.5
2033,1978000,-3.5
2035,1980000,-5.0
2037,1982000,-4.5
2039,1984000,-5.0
2041,1986000,-313.0
2043,1988000,-2.5
2045,1990000,-491.0
2047,1992000,-7.0
2049,1994000,-3.5
2051,1996000,-127.5
2053,1998000,-3.0
2055,2000000,-3.5
2057,2002000,-5.5
2059,2004000,-4.0
2061,2006000,-304.5
2063,2008000,-1.5
2065,2010000,-3.5
2067,2012000,-3.0
2069,2014000,-4.0
2071,2016000,-1.5
2073,2018000,-3.0
2075,2020000,-501.5
2077,2022000,-2.0
2079,2024000,-0.5
2081,2026000,-2.0
2083,2028000,-2.0
2085,2030000,-377.0
2087,2032000,-3.0
2089,2034000,-2.0
2091,2036000,-2.0
2093,2038000,-3.0
2095,2040000,-95.5
2097,2042000,-2.0
2099,2044000,-4.5
2101,2046000,-2.5
2103,2048000,-228.0
2105,2050000,-3.5
2107,2052000,-2.0
2109,2054000,-417.0
2111,2056000,-5.5
2113,2058000,-6.0
2115,2060000,-4.5
2117,2062000,-3.5
2119,2064000,-4.5
2121,2066000,-3.0
2123,2068000,-2.0
2125,2070000,-346.0
2127,2072000,-2.5
2129,2074000,-0.5
2131,2076000,-1.5
2133,2078000,-84.0
2135,2080000,-6.5
2137,2082000,-423.5
2139,2084000,-316.0
2141,2086000,-7.0
2143,2088000,-86.5
2145,2090000,-7.0
2147,2092000,-6.0
2149,2094000,-4.5
2151,2096000,-4.5
2153,2098000,-312.5
2155,2100000,-1.0
2157,2102000,-57.5
2159,2104000,-4.5
2161,2106000,-3.0
2163,2108000,-5.5
2165,2110000,-465.5
2167,2112000,-6.5
2169,2114000,-2.5
2171,2116000,-2.5
2173,2118000,-6.0
2175,2120000,-2.5
2177,2122000,-1.5
2179,2124000,-136.0
2181,2126000,-2.0
2183,2128000,-2.0
2185,2130000,-243.5
2187,2132000,-729.5
2189,2134000,-1.0
2191,2136000,-269.5
2193,2138000,-334.0
2195,2140000,-5.0
2197,2142000,-3.0
2199,2144000,-5.0
2201,2146000,-3.5
2203,2148000,-4.0
2205,2150000,-1.5
2207,2152000,-4.0
2209,2154000,-2.0
2211,2156000,-1.5
2213,2158000,-2.0
2215,2160000,-2.0
2217,2162000,-1.0
2219,2164000,-1.5
2221,2166000,-1.0
2223,2168000,-0.5
2225,2170000,0.0
2227,2172000,-0.5
2229,2174000,-0.5
2231,2176000,-0.5
2233,2178000,-1.5
2235,2180000,-0.5
2237,2182000,-0.5
2239,2184000,0.0
2241,2186000,-0.5
2243,2188000,-1.5
2245,2190000,-0.5
2247,2192000,-1.0
2249,2194000,-0.5
2251,2196000,-1.5
2253,2198000,-0.5
2255,2200000,-1.5
2257,2202000,-1.0
2259,2204000,-0.5
2261,2206000,-0.5
2263,2208000,-369.5
2265,2210000,0.0
2267,2212000,-1.0
2269,2214000,0.0
2271,2216000,-2.5
2273,2218000,-0.5
2275,2220000,-0.5
2277,2222000,-1.0
2279,2224000,0.0
2281,2226000,-1.5
2283,2228000,0.0
2285,2230000,-1.0
2287,2232000,-0.5
2289,2234000,-1.5
2291,2236000,-461.5
2293,2238000,-0.5
2295,2240000,0.0
2297,2242000,-1.5
2299,2244000,-2.5
2301,2246000,-1.0
2303,2248000,-1.0
2305,2250000,-0.5
2307,2252000,-1.0
2309,2254000,-209.0
2311,2256000,-317.5
2313,2258000,-338.5
2315,2260000,0.0
2317,2262000,-422.5
2319,2264000,-1.5
2321,2266000,-2.0
2323,2268000,-2.0
2325,2270000,-1.5
2327,2272000,-398.0
2329,2274000,-0.5
2331,2276000,-392.0
2333,2278000,-2.5
2335,2280000,-5.5
2337,2282000,-501.5
2339,2284000,-5.5
2341,2286000,-6.0
2343,2288000,-5.0
2345,2290000,-6.0
2347,2292000,-4.0
2349,2294000,-5.5
2351,2296000,-1.5
2353,2298000,-502.0
2355,2300000,-5.0
2357,2302000,-4.0
2359,2304000,-4.0
2361,2306000,-499.5
2363,2308000,-2.0
2365,2310000,-4.5
2367,2312000,-2.5
2369,2314000,-420.0
2371,2316000,-7.5
2373,2318000,-2.5
2375,2320000,-4.0
2377,2322000,-1.5
2379,2324000,-2.5
2381,2326000,-0.5
2383,2328000,-3.0
2385,2330000,-1.0
2387,2332000,-2.0
2389,2334000,-0.5
2391,2336000,-1.0
2393,2338000,-0.5
2395,2340000,-2.0
2397,2342000,-2.0
2399,2344000,-498.0
2401,2346000,-2.0
2403,2348000,-500.5
2405,2350000,-1.0
2407,2352000,-187.5
2409,2354000,-1.0
2411,2356000,-422.0
2413,2358000,-1.0
2415,2360000,-1.5
2417,2362000,-198.5
2419,2364000,-2.5
2421,2366000,-3.0
2423,2368000,-2.0
2425,2370000,-325.5
2427,2372000,-487.5
2429,2374000,-1.0
2431,2376000,-210.0
2433,2378000,-426.5
2435,2380000,-3.5
2437,2382000,-235.5
2439,2384000,-501.0
2441,2386000,-7.5
2443,2388000,-4.5
2445,2390000,-8.0
2447,2392000,-6.5
2449,2394000,-4.5
2451,2396000,-2.0
2453,2398000,-3.0
2455,2400000,-2.5
2457,2402000,-4.0
2459,2404000,-2.0
2461,2406000,-1.0
2463,2408000,-500.5
2465,2410000,-1.5
2467,2412000,-2.0
2469,2414000,-270.5
2471,2416000,-317.5
2473,2418000,-982.0
2476,2420000,-569.0
2478,2422000,-321.0
2480,2424000,-47.0
2482,2426000,-199.0
2484,2428000,-955.5
2486,2430000,-501.5
2488,2432000,-460.0
2490,2434000,-501.0
2493,2436000,-2.6667
2495,2438000,-816.5
2497,2440000,-201.0
2500,2442000,-243.0
2503,2444000,-0.3333
2505,2446000,-368.0
2507,2448000,-3.5
2509,2450000,-409.5
2511,2452000,-6.5
2513,2454000,-665.0
2516,2456000,-5.6667
2518,2458000,-61.0
2520,2460000,-4.5
2522,2462000,-500.5
2524,2464000,-922.5
2526,2466000,-174.5
2529,2468000,-7.0
2531,2470000,-5.5
2533,2472000,-128.0
2535,2474000,-322.0
2537,2476000,-8.0
2539,2478000,-5.0
2541,2480000,-6.0
2543,2482000,-5.5
